epsilon,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,mean
2.323232323232323482e-01,1.071634265969505055e-02,6.494274401347697664e-03,8.717132556064523252e-03,9.189755165400218667e-03,1.004738274377959574e-02,9.382297160077589585e-03,1.611557011092067809e-02,9.907290245067012710e-03,1.126731556316765137e-02,1.342385935563986631e-02,2.830123672209396493e-02,1.415464234800724308e-02,1.458937969894539416e-02,7.941259345972779063e-03,1.849175762333045772e-02,4.907222839855553131e-02,8.574940233027865746e-03,1.298874897748047291e-02,3.287890509125874355e-02,9.133865556269151961e-03,1.429101465956843751e-02,1.016948376270890124e-02,9.173325460267939616e-03,1.378983683732334757e-02,1.530991835379928029e-02,1.053178047625376486e-02,9.463382059285147321e-03,1.360661603779573028e-02,1.095523162694427184e-02,1.115363617839492012e-02,0.000000000000000000e+00
2.424242424242424310e-01,2.001399510342700278e-02,8.432194257724378791e-03,1.363121417922849576e-02,8.410535060268162222e-03,1.361396341995967096e-02,1.738568088974372025e-02,4.170164864846472030e-02,5.641100867738495228e-02,1.626880143095981238e-02,1.502123829782351684e-02,1.162701595423348659e-02,1.389625312809175950e-01,1.545924965837605115e-02,1.003459515874955549e-02,9.307502350254874199e-03,1.094953880307294146e-02,8.819197469157835645e-02,5.814602307982894708e-03,9.333273809334000429e-03,1.809827339831067763e-02,9.466724618367219901e-02,9.205433178292046770e-03,1.749621673391136764e-02,8.449828400624477542e-03,1.771016374853716727e-02,1.792476220204887449e-02,9.234955332864365832e-03,9.986991538997116655e-03,7.940558859425450589e-02,9.344918405208254772e-03,0.000000000000000000e+00
2.525252525252525415e-01,9.260907083002183765e-03,8.584847115703342357e-03,1.217301934607844215e-02,9.249318893842940065e-03,1.775291243711859049e-02,2.210520300743696112e-02,1.272762350165968642e-02,9.937524842736243300e-03,7.952986860293434143e-03,7.997068212788983887e-03,1.242507142836611622e-02,8.425740323556144690e-03,1.200940881142781302e-02,7.896860135522218785e-03,3.133687923198479747e-02,8.124309201402909672e-03,1.294005795968472539e-02,1.023528700134979097e-02,9.287173951208193071e-03,1.026389302360463870e-02,2.263426605834614053e-02,8.773021144394899454e-03,1.105171479907077724e-02,1.210424124016040992e-01,1.074788816465820952e-02,5.103126492651342827e-03,8.813733601601538362e-03,2.126593520163174225e-02,2.147557682578049229e-02,2.454619318753928359e-02,0.000000000000000000e+00
2.626262626262626521e-01,8.502728973688389660e-03,1.115334478979288294e-02,9.544024308435096818e-03,8.852931717798346450e-03,8.772109210446483313e-03,1.061943501321986616e-02,1.097571865528631369e-02,1.101487630434404806e-02,1.080585026733204244e-02,1.024736063579300381e-02,8.694659280270848611e-03,1.024020995878502545e-02,1.238900722414834968e-02,4.825067357042800431e-02,8.259894430318102942e-02,2.821063629200873044e-02,5.978921307393165498e-03,1.315399178956714980e-02,9.802265044366020516e-03,9.996254298486008036e-03,7.991470452926670645e-03,9.848345038634664581e-03,8.890016872874877130e-03,9.362024353738885446e-03,8.215838362577490214e-03,8.920448419221984476e-03,9.898989847454131574e-03,7.319453531514493079e-03,6.422460276249281064e-02,1.388284909519656440e-01,0.000000000000000000e+00
2.727272727272727626e-01,1.025227291872392484e-02,9.232551110067032177e-03,9.503073187132676444e-03,8.843409975795536379e-03,1.023955077139617614e-02,8.877719301712574257e-03,8.961802274096432666e-03,8.785049800655657729e-03,8.912524894775890327e-03,1.302770509337695948e-02,8.872851852702151251e-03,1.220834141069129797e-02,9.815390975401846324e-03,1.274251152638285721e-02,8.603923523602473311e-03,7.873823721674243215e-03,1.163702711176699094e-02,1.021897744395201292e-02,8.411397030220367152e-03,1.062090391633405302e-02,1.215836748909984374e-02,9.090786544628578353e-03,1.600343713081661332e-02,7.194275502091923569e-03,1.075962824636613607e-02,1.249596334821769655e-02,9.455257796591270275e-03,8.504886830522790861e-03,9.339566371090256280e-03,8.848022377910219269e-03,0.000000000000000000e+00
2.828282828282828731e-01,8.117505774559080622e-03,9.907794911078852268e-03,9.125809553130066407e-03,1.838014961854228177e-02,1.751035122434727379e-02,8.825735096863037907e-03,1.492782636554967381e-02,1.416391188902274903e-02,8.140614227440090209e-03,1.062872993353392199e-02,8.941426060757869804e-03,1.708064401596146031e-02,1.066588486718284511e-02,8.544817142572448329e-03,8.345124325017574257e-03,1.182682966817396979e-02,1.224749362114551168e-02,1.540349311033052671e-02,1.474610117963389040e-02,1.075139060773070560e-02,8.836713189868731361e-03,9.855942369961383925e-03,9.623408959407263666e-03,1.001735993163867591e-02,9.254058569082001043e-03,9.276265412330546994e-03,9.364101665402827998e-03,1.111530476415289320e-02,1.320064771138143925e-02,9.101049390042885087e-03,0.000000000000000000e+00
2.929292929292929282e-01,1.272503045182996929e-02,8.399113048411718796e-03,9.429374316464482139e-03,1.195156893466292961e-02,1.117953040158664417e-02,8.870535496800628986e-03,1.195133465350209367e-02,9.419612518569965565e-03,9.082202376075970002e-03,9.707090192225474937e-03,9.114296462152194148e-03,9.178867032482822264e-03,8.677465067633519102e-03,1.163829454860118226e-02,1.484068394650327541e-02,1.442087375993563077e-02,9.859913792726588896e-03,9.518503033565731131e-03,8.862279616441809740e-03,9.033249692109701287e-03,9.463212985027865190e-03,1.040643550885700722e-02,8.565885826929985070e-03,9.453777022968122210e-03,1.175786970501034243e-02,8.566323598837485495e-03,1.048127377755203940e-02,1.210359863842155187e-02,1.751529617220331028e-02,8.584777224832336809e-03,0.000000000000000000e+00
3.030303030303030387e-01,1.186128154964715548e-02,1.260342810508315731e-02,3.447226067434510655e-01,8.649069314093857375e-03,9.004998611882180509e-03,9.326842981416593945e-03,1.134283915075939148e-02,1.004909946214087475e-02,9.612590701782740277e-03,1.102649536344164037e-02,8.600441849114497800e-03,1.107023034990690762e-02,9.959638547658243232e-03,7.788266816179323197e-03,7.253819683449540777e-03,1.031733977341058560e-02,1.021690266176594232e-02,8.151190097157591866e-03,8.077970042034076162e-03,3.636176633498433564e-01,1.140822072016491051e-02,1.168544393679589628e-02,1.468543070529427508e-01,9.140344632452324786e-03,9.614962298418024134e-03,1.318538584949261253e-02,1.212143143362201872e-02,7.426546976893097680e-03,3.534272909666145157e-01,8.854354860745077688e-03,0.000000000000000000e+00
3.131313131313131493e-01,1.150528574177973190e-02,9.375051999855787271e-03,3.421241464731771820e-01,1.047501312648342273e-02,1.203460011799312168e-02,1.075064649218827363e-02,9.232957272726870571e-03,9.265527507918801600e-03,3.784664660177966544e-01,8.834449615001490133e-03,1.091804011716388662e-02,3.701806957419578881e-01,2.552643617898903150e-01,8.778382538941897559e-03,1.167261752992875337e-02,1.039472943370821877e-02,9.392864312870702337e-03,1.166068608616148243e-02,1.188906640573598496e-02,9.332545204819530510e-03,1.014484598207385409e-02,1.095399470512926562e-02,2.375519783121159412e-01,1.091978021756848452e-02,8.932883073230053067e-03,3.330171160766365324e-01,1.184119504104209908e-02,1.004029880033457944e-02,1.137745138420727387e-02,1.520994411561068030e-02,0.000000000000000000e+00
3.232323232323232598e-01,3.726262217021233392e-01,9.664838332843442292e-03,3.406590671037540430e-01,1.022694480282356974e-02,8.625450712861328778e-03,3.207296313096125173e-01,3.728222906426063021e-01,3.165456308338499003e-01,9.705235700383580549e-03,2.786091821889580267e-01,3.640845191710297968e-01,8.346256645946133201e-03,5.157237632686707991e-03,1.080555412739207799e-02,9.150278684280605673e-03,3.411967373818219906e-01,7.170906497786733169e-03,6.721093661004881939e-03,9.353095744190796298e-03,9.201086892318756025e-03,9.405163475453255997e-03,9.060772593989985593e-03,9.389669855751053146e-03,1.044153245457772779e-02,3.373060241086719979e-01,8.288329144043447838e-03,3.616006637162050841e-01,9.071582000952203503e-03,1.164106524335294796e-02,3.569978313659621927e-01,1.311534631242411431e-01
