epsilon,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,mean
2.424242424242424310e-01,3.638703752711945905e-01,3.531901612446190497e-01,3.771601670378249005e-01,3.768630216670242894e-01,3.596915434090715569e-01,3.672970187736350201e-01,3.700709190141803218e-01,3.624274452907781385e-01,3.705913323325303876e-01,3.972849853694448430e-01,3.531886040064146637e-01,3.668934074087458752e-01,3.818893361957099719e-01,3.522734057518392969e-01,3.421914521141637411e-01,3.808304781658106153e-01,3.696456783191168216e-01,3.747104460780350532e-01,3.823437588087452710e-01,3.635203261167111455e-01,3.451215693056578493e-01,3.619108082110839564e-01,3.493609308437335970e-01,3.672495385973956750e-01,3.676293916432689102e-01,3.679502329120067361e-01,3.889376042503476238e-01,3.652716791649743833e-01,3.796275337748830636e-01,3.727832897274233059e-01,3.677258813602123921e-01
2.525252525252525415e-01,3.634910062161098576e-01,3.681995659964851231e-01,3.868131724747749800e-01,3.556994904410181735e-01,3.736552416332467041e-01,3.821300977415937328e-01,3.847121483655019381e-01,3.789964088220362237e-01,3.720255776153031935e-01,3.728887962918703836e-01,3.811294104369275515e-01,3.623852164479119953e-01,3.536040546996032652e-01,3.503074962086880628e-01,3.843925768013737310e-01,3.384257819670363210e-01,3.504704746480079569e-01,3.689133047207704408e-01,3.461263091705107375e-01,3.699401794885222028e-01,3.380572176422210751e-01,3.484664992506453229e-01,3.862959026445918487e-01,3.480399935352258001e-01,3.575628575509486318e-01,3.622985811454413896e-01,3.639680836282214171e-01,3.670056919177139831e-01,3.594573881560928497e-01,3.532548802210664363e-01,3.642904468626487757e-01
2.626262626262626521e-01,3.387592950754266807e-01,3.547849234395396567e-01,3.715903727224374453e-01,3.674782413966845573e-01,3.658039282183830898e-01,3.424098320726202127e-01,3.858146057370042126e-01,3.589878185955617806e-01,3.466625990787006728e-01,3.365392189626641439e-01,3.540922731435974247e-01,3.816356968366560465e-01,3.617936111929009879e-01,3.305148073838750089e-01,3.758113755596017014e-01,3.573212194930494023e-01,3.747531842426425341e-01,3.536671491671229406e-01,3.595544487278665158e-01,3.579248278619408530e-01,3.610312278737117797e-01,3.414954317410410223e-01,3.804752148300858394e-01,3.630156189477251605e-01,3.511623322624452537e-01,3.580868576197679953e-01,3.794298579447853426e-01,3.452452431243622777e-01,3.511432543848735377e-01,3.726713163096940229e-01,3.593218594648922570e-01
2.727272727272727626e-01,3.597421832368286609e-01,3.424515492737622568e-01,3.280678125022324920e-01,3.585603329985067034e-01,3.629073540175233314e-01,3.363337477863320157e-01,3.511794827435110178e-01,3.548966801760760070e-01,3.656139618504741784e-01,3.499261149157061879e-01,3.491868925088683628e-01,3.237190230740232266e-01,3.606089039388794548e-01,3.563393607223316328e-01,3.511844876984175357e-01,3.489162184536568345e-01,3.312075482231647272e-01,3.493623361211107836e-01,3.342009599028704092e-01,3.514393865234800018e-01,3.428577271989067810e-01,3.543378685661469074e-01,3.435065174054198756e-01,3.439741118165726141e-01,3.604296635961030115e-01,3.554812921941181147e-01,3.414956191519885609e-01,3.327007272309455144e-01,3.770111630973279060e-01,3.426683381930697436e-01,3.486769121706118080e-01
2.828282828282828731e-01,3.611477293297023494e-01,3.480849976658000333e-01,3.336497233626906644e-01,3.652776931322250231e-01,3.390639001722241530e-01,3.483806164240484948e-01,3.303001633363205070e-01,3.201030851147798617e-01,3.369430094244425522e-01,3.459894645794868717e-01,3.638999822753499203e-01,3.539679866880619530e-01,3.620193888454042441e-01,3.460977138034864176e-01,3.416999157155295452e-01,3.751992356068972745e-01,3.275349158486771106e-01,3.513800579145037184e-01,3.443937711399554513e-01,3.165850438665731015e-01,3.485900588083372109e-01,3.257909120893337507e-01,3.191164168450128513e-01,3.453586511150401051e-01,2.974512054102319558e-01,3.601015695605894185e-01,2.993815752513838135e-01,2.927883363455586752e-01,3.348792313655775121e-01,3.706904066738171966e-01,3.401955585903681523e-01
2.929292929292929282e-01,3.487247544984439784e-01,3.392610315081883710e-01,2.955597487818664715e-01,3.160885159255236165e-01,3.324676952727888546e-01,3.209491129447158975e-01,3.551935534324912047e-01,3.404386723038380080e-01,3.381494190443035674e-01,3.499359671425616436e-01,3.358895080230997476e-01,3.275101372476888484e-01,3.211600604060224629e-01,3.218245944610200193e-01,3.385909737426560095e-01,3.501987584215569549e-01,3.294664723458215483e-01,3.261247029895159577e-01,3.384452836131713327e-01,3.432503785868268875e-01,3.328968397266636736e-01,3.348469159183043997e-01,3.500695725138076031e-01,3.427309409726527756e-01,3.493770586343642459e-01,3.581603745530763661e-01,3.217968433654997962e-01,3.117877949824207073e-01,3.513089152014221006e-01,3.552952658001510833e-01,3.359166620786820379e-01
3.030303030303030387e-01,3.206234713803716718e-01,3.157875569112880698e-01,3.381992483729081012e-01,3.381430541945228407e-01,3.112732587293678965e-01,3.099045407863524337e-01,3.106963308441217930e-01,3.222822332987035909e-01,3.523765955621911417e-01,3.308461642516049572e-01,3.364095912723060189e-01,3.326602194432030646e-01,3.363300490589563596e-01,3.527921896811208602e-01,3.247945964759881843e-01,3.269427281650411632e-01,3.248720011019724518e-01,3.256013138794129347e-01,3.389133073515998573e-01,3.413015007291939629e-01,3.341435134788643402e-01,3.535884866621084033e-01,3.431875771353036786e-01,3.225052737553294468e-01,3.123832799622924816e-01,3.324271762356381110e-01,3.394706554328370540e-01,3.306652595904202019e-01,3.315864466470244687e-01,3.364446597882034817e-01,3.309050760059416563e-01
3.131313131313131493e-01,3.439063062812311999e-01,3.117312778660492056e-01,3.364370669233697764e-01,3.423668681400114933e-01,3.136706686956878820e-01,3.134844294378908436e-01,3.399196693338001340e-01,2.989327969627956216e-01,3.105828551288689066e-01,3.418245830831948551e-01,3.042272118006540405e-01,3.215577864086018312e-01,2.994511277320557885e-01,3.233967747210846899e-01,3.290013281128208456e-01,3.309420872297749727e-01,3.317667763655667845e-01,2.754720283440770801e-01,3.323634372189576691e-01,3.142048470345421007e-01,2.998744570649524155e-01,3.378711853650737118e-01,3.458303773528288438e-01,3.368812099242105562e-01,3.267533337243860303e-01,2.939379762807112773e-01,3.073059158233046873e-01,3.514870824084435630e-01,3.067662580858592225e-01,3.039548216429540650e-01,3.208634181497920235e-01
3.232323232323232598e-01,3.165607234007402626e-01,3.391682135755059169e-01,2.997570843199539592e-01,2.866297758433342113e-01,3.083202237933801437e-01,3.240680329807307802e-01,3.183539657362540187e-01,2.959803458001898924e-01,3.029062422598781668e-01,2.946547937841840215e-01,2.895440448360145358e-01,3.271140969142112831e-01,3.104403599727328933e-01,3.072175729023324808e-01,3.052073346104250962e-01,3.030155327701865020e-01,3.271747392449484426e-01,3.262763221565426197e-01,3.163406651064639696e-01,3.305788067919660511e-01,3.197486356499429916e-01,3.047509703019827820e-01,3.360917136735150357e-01,3.214522389096084454e-01,3.028148609299087246e-01,3.008286628630988391e-01,3.102060998755504784e-01,3.174903732398826617e-01,3.216891746702086330e-01,3.253206570447071955e-01,3.129900754652794048e-01
3.333333333333333703e-01,2.885076212164940368e-01,2.957598519069145060e-01,3.191068059443420979e-01,3.255160105125399217e-01,2.758706716923710611e-01,2.888641611553776634e-01,3.127236000048604914e-01,2.986288698367925987e-01,3.323937922103841203e-01,2.850783420395172629e-01,3.237624269429669188e-01,3.117332017928151622e-01,3.101190926079850363e-01,2.925133930267125315e-01,3.246572991632869498e-01,2.919952018441399066e-01,3.326112462019286675e-01,3.028120663051589445e-01,2.985088400701058076e-01,3.399597733556133372e-01,2.990560816970622704e-01,3.060179733283651116e-01,3.164726054495080598e-01,3.223259870069429822e-01,3.029255875623582672e-01,3.035743235189695688e-01,3.080098336092534361e-01,3.146907451769117570e-01,3.004265128113695615e-01,3.130230975503245361e-01,3.079215005180457321e-01
